país,242,0.0024853
modelo,67,0.0006881
programa,70,0.0007189
gobierno,80,0.0008216
partido,26,0.000267
colorado,21,0.0002157
gestión,114,0.0011708
política,186,0.0019102
fiscal,64,0.0006573
presupuesto,41,0.0004211
monetaria,23,0.0002362
tributaria,16,0.0001643
sistema,288,0.0029577
financiero,17,0.0001746
previsional,13,0.0001335
sistemas,35,0.0003594
control,92,0.0009448
evaluación,120,0.0012324
gasto,31,0.0003184
público,62,0.0006367
desarrollo,233,0.0023929
económico,18,0.0001849
inserción,31,0.0003184
comercial,47,0.0004827
ciencia,23,0.0002362
tecnología,32,0.0003286
innovación,30,0.0003081
medio,73,0.0007497
ambiente,52,0.000534
sostenible,17,0.0001746
infraestructura,61,0.0006265
transporte,42,0.0004313
empresas,131,0.0013453
servicios,196,0.0020129
públicos,87,0.0008935
energética,10,0.0001027
agua,56,0.0005751
potable,10,0.0001027
saneamiento,19,0.0001951
telecomunicaciones,22,0.0002259
relaciones,31,0.0003184
laborales,29,0.0002978
agro,27,0.0002773
recursos,122,0.0012529
naturales,20,0.0002054
industria,35,0.0003594
globales,17,0.0001746
logística,18,0.0001849
turismo,58,0.0005956
políticas,94,0.0009654
uruguay,213,0.0021875
marítimo,12,0.0001232
sociales,41,0.0004211
educación,177,0.0018178
salud,76,0.0007805
vivienda,54,0.0005546
urbanismo,11,0.000113
integración,43,0.0004416
social,102,0.0010475
género,54,0.0005546
personas,141,0.001448
situación,93,0.0009551
discapacidad,49,0.0005032
adicciones,20,0.0002054
calle,17,0.0001746
primera,46,0.0004724
infancia,26,0.000267
arte,42,0.0004313
cultura,72,0.0007394
deporte,29,0.0002978
sociedad,92,0.0009448
civil,41,0.0004211
voluntariado,13,0.0001335
bienestar,23,0.0002362
animal,22,0.0002259
convivencia,10,0.0001027
seguridad,58,0.0005956
ciudadana,10,0.0001027
estrategia,28,0.0002876
policial,34,0.0003492
justicia,36,0.0003697
penal,31,0.0003184
carcelaria,13,0.0001335
estado,150,0.0015405
derecho,51,0.0005238
valores,28,0.0002876
exterior,55,0.0005648
servicio,61,0.0006265
diplomático,23,0.0002362
soberanía,12,0.0001232
defensa,21,0.0002157
nacional,242,0.0024853
judicial,37,0.00038
constitución,26,0.000267
transparencia,28,0.0002876
corrupción,12,0.0001232
derechos,64,0.0006573
humanos,46,0.0004724
p,28,0.0002876
l,46,0.0004724
í,11,0.000113
t,53,0.0005443
i,117,0.0012016
c,83,0.0008524
s,67,0.0006881
r,66,0.0006778
u,44,0.0004519
hacia,62,0.0006367
responsable,36,0.0003697
durante,28,0.0002876
económica,23,0.0002362
ingresos,27,0.0002773
fiscales,37,0.00038
encima,14,0.0001438
tendencia,10,0.0001027
gastos,21,0.0002157
aún,43,0.0004416
pero,91,0.0009346
cuando,41,0.0004211
no,526,0.0054019
nueva,53,0.0005443
realidad,28,0.0002876
ante,26,0.000267
déficit,14,0.0001438
tres,15,0.000154
ajustes,15,0.000154
›,142,0.0014583
inversiones,29,0.0002978
públicas,76,0.0007805
tarifas,34,0.0003492
costos,42,0.0004313
producción,51,0.0005238
través,103,0.0010578
forma,104,0.0010681
hecho,22,0.0002259
todo,87,0.0008935
esto,120,0.0012324
mayor,137,0.001407
antes,15,0.000154
primer,34,0.0003492
puntos,32,0.0003286
pbi,14,0.0001438
parte,111,0.0011399
pública,69,0.0007086
global,17,0.0001746
según,30,0.0003081
fondo,21,0.0002157
constante,10,0.0001027
solo,85,0.0008729
sector,127,0.0013043
cual,61,0.0006265
va,16,0.0001643
ser,194,0.0019923
posible,31,0.0003184
si,96,0.0009859
d,50,0.0005135
b,17,0.0001746
fuente,12,0.0001232
ministerio,53,0.0005443
economía,31,0.0003184
cifra,13,0.0001335
afap,10,0.0001027
marco,63,0.000647
ley,141,0.001448
referente,14,0.0001438
porque,18,0.0001849
bien,36,0.0003697
recaudación,13,0.0001335
algunos,27,0.0002773
pueden,34,0.0003492
controlar,10,0.0001027
manera,109,0.0011194
también,123,0.0012632
inversión,57,0.0005854
futuro,20,0.0002054
productivo,16,0.0001643
consecuencia,12,0.0001232
dólares,19,0.0001951
mercados,51,0.0005238
internacionales,59,0.0006059
cuentas,39,0.0004005
últimos,32,0.0003286
años,104,0.0010681
condiciones,68,0.0006983
financieras,11,0.000113
respecto,26,0.000267
productivos,11,0.000113
ese,53,0.0005443
sentido,67,0.0006881
pérdida,13,0.0001335
competitividad,30,0.0003081
medida,39,0.0004005
propuestas,21,0.0002157
implementar,29,0.0002978
reducir,33,0.0003389
dar,29,0.0002978
co,11,0.000113
sobre,135,0.0013864
tipo,37,0.00038
cambio,48,0.0004929
soñamos,45,0.0004621
especial,36,0.0003697
atención,85,0.0008729
riesgos,12,0.0001232
permita,26,0.000267
ciudadanos,36,0.0003697
donde,55,0.0005648
vamos,114,0.0011708
hacer,82,0.0008421
regla,14,0.0001438
balance,10,0.0001027
estructural,12,0.0001232
legal,18,0.0001849
institucional,26,0.000267
establecer,44,0.0004519
comité,17,0.0001746
independiente,15,0.000154
crear,45,0.0004621
basado,14,0.0001438
resultados,80,0.0008216
avanzar,23,0.0002362
diseño,17,0.0001746
bajo,42,0.0004313
lógica,14,0.0001438
medidas,42,0.0004313
reducción,26,0.000267
funcionarios,26,0.000267
le,55,0.0005648
poder,76,0.0007805
dificultades,13,0.0001335
económicas,16,0.0001643
sin,106,0.0010886
tener,79,0.0008113
pueda,27,0.0002773
tiene,77,0.0007908
adicionales,11,0.000113
sea,75,0.0007702
emprendimientos,27,0.0002773
gran,53,0.0005443
otros,105,0.0010783
tiempo,52,0.000534
nuevo,36,0.0003697
dado,19,0.0001951
mayoría,38,0.0003903
países,84,0.0008627
tienen,60,0.0006162
características,17,0.0001746
región,30,0.0003081
chile,16,0.0001643
viene,10,0.0001027
do,26,0.000267
similar,14,0.0001438
desde,98,0.0010064
hacen,12,0.0001232
institucionales,15,0.000154
alcanzar,19,0.0001951
metas,26,0.000267
base,51,0.0005238
largo,28,0.0002876
plazo,33,0.0003389
factores,15,0.000154
irregulares,12,0.0001232
ma,14,0.0001438
puede,55,0.0005648
aumentar,14,0.0001438
misma,27,0.0002773
mientras,37,0.00038
razones,10,0.0001027
continuar,11,0.000113
mismo,50,0.0005135
haciendo,17,0.0001746
ahorro,14,0.0001438
des,22,0.0002259
será,62,0.0006367
privado,27,0.0002773
año,54,0.0005546
tendrán,14,0.0001438
determinar,12,0.0001232
son,167,0.0017151
administración,23,0.0002362
podrá,18,0.0001849
contar,26,0.000267
tal,38,0.0003903
hace,36,0.0003697
deberán,27,0.0002773
cargos,13,0.0001335
ciones,19,0.0001951
período,15,0.000154
ejecutivo,21,0.0002157
aprobación,12,0.0001232
meta,11,0.000113
deberá,55,0.0005648
cuenta,56,0.0005751
actuales,20,0.0002054
pro,31,0.0003184
tanto,105,0.0010783
además,116,0.0011913
adecuada,21,0.0002157
ejercicio,12,0.0001232
situaciones,25,0.0002567
ver,116,0.0011913
distintas,29,0.0002978
reglas,13,0.0001335
nivel,137,0.001407
mundial,23,0.0002362
decir,15,0.000154
actividad,52,0.000534
sido,34,0.0003492
ejemplo,108,0.0011091
vez,111,0.0011399
finalmente,19,0.0001951
partir,41,0.0004211
implementación,36,0.0003697
diferencia,11,0.000113
entre,202,0.0020745
activos,14,0.0001438
riesgo,30,0.0003081
actual,26,0.000267
planteamos,10,0.0001027
adelante,23,0.0002362
actualmente,44,0.0004519
cada,105,0.0010783
ciclo,10,0.0001027
presupuestal,11,0.000113
unidad,33,0.0003389
considerar,11,0.000113
ya,108,0.0011091
resultado,11,0.000113
nuestro,91,0.0009346
todos,104,0.0010681
implica,44,0.0004519
genera,15,0.000154
objetivos,50,0.0005135
definición,11,0.000113
decisiones,36,0.0003697
proceso,88,0.0009037
permite,15,0.000154
cometidos,11,0.000113
actividades,53,0.0005443
unidades,35,0.0003594
ejecutoras,10,0.0001027
impacto,32,0.0003286
permitiendo,10,0.0001027
número,21,0.0002157
programas,63,0.000647
vía,17,0.0001746
crecimiento,20,0.0002054
personales,14,0.0001438
requiere,28,0.0002876
esfuerzo,14,0.0001438
técnico,21,0.0002157
prácticas,24,0.0002465
particular,43,0.0004416
revisión,22,0.0002259
creemos,15,0.000154
mejorar,61,0.0006265
calidad,113,0.0011605
evidencia,14,0.0001438
están,58,0.0005956
aquellos,28,0.0002876
lugares,12,0.0001232
trabajar,41,0.0004211
elementos,14,0.0001438
experiencia,31,0.0003184
hoy,87,0.0008935
casi,20,0.0002054
mil,34,0.0003492
millones,20,0.0002054
vínculos,11,0.000113
contratos,16,0.0001643
promedio,19,0.0001951
costo,25,0.0002567
incluyendo,17,0.0001746
aportes,23,0.0002362
bps,12,0.0001232
etc,54,0.0005546
embargo,38,0.0003903
mejora,28,0.0002876
áreas,55,0.0005648
otra,36,0.0003697
cuales,31,0.0003184
ción,52,0.000534
cerca,11,0.000113
posibilidades,25,0.0002567
especialmente,24,0.0002465
cantidad,45,0.0004621
serie,14,0.0001438
contralor,19,0.0001951
cumplir,20,0.0002054
poco,29,0.0002978
eficiente,24,0.0002465
aquellas,26,0.000267
necesita,17,0.0001746
ello,53,0.0005443
fin,34,0.0003492
importancia,15,0.000154
profesionalización,18,0.0001849
trabajadores,30,0.0003081
productividad,12,0.0001232
eficiencia,23,0.0002362
procesos,56,0.0005751
trabajo,132,0.0013556
toda,41,0.0004211
relación,26,0.000267
realizado,10,0.0001027
asignación,10,0.0001027
inclusión,29,0.0002978
seguir,30,0.0003081
reduciendo,10,0.0001027
sean,34,0.0003492
alta,22,0.0002259
confianza,18,0.0001849
todas,48,0.0004929
gobiernos,21,0.0002157
departamentales,22,0.0002259
vínculo,10,0.0001027
grupo,11,0.000113
m,26,0.000267
n,61,0.0006265
central,28,0.0002876
bcu,10,0.0001027
inflación,18,0.0001849
objetivo,64,0.0006573
así,123,0.0012632
mundo,49,0.0005032
argentina,20,0.0002054
mucho,19,0.0001951
baja,24,0.0002465
régimen,36,0.0003697
grado,25,0.0002567
incumplimiento,11,0.000113
fue,33,0.0003389
evitar,25,0.0002567
mayores,45,0.0004621
último,24,0.0002465
buenas,13,0.0001335
autoridades,10,0.0001027
económicos,14,0.0001438
ni,40,0.0004108
contexto,38,0.0003903
quienes,27,0.0002773
menos,35,0.0003594
hogares,20,0.0002054
ingreso,10,0.0001027
menores,14,0.0001438
empleo,25,0.0002567
otro,43,0.0004416
lado,42,0.0004313
generando,11,0.000113
podría,10,0.0001027
real,20,0.0002054
tasas,16,0.0001643
muy,61,0.0006265
inversores,13,0.0001335
ve,13,0.0001335
permitir,12,0.0001232
mercado,73,0.0007497
cambios,40,0.0004108
lleva,12,0.0001232
fuerte,25,0.0002567
locales,23,0.0002362
múltiples,15,0.000154
tasa,20,0.0002054
interés,16,0.0001643
instrumento,27,0.0002773
manejo,24,0.0002465
impuesto,12,0.0001232
muchos,16,0.0001643
sí,15,0.000154
lograr,28,0.0002876
aumento,19,0.0001951
uso,67,0.0006881
instrumentos,32,0.0003286
falta,32,0.0003286
coordinación,46,0.0004724
materia,61,0.0006265
autonomía,19,0.0001951
hechos,13,0.0001335
directorio,10,0.0001027
anterior,13,0.0001335
comunicación,17,0.0001746
muchas,27,0.0002773
oportunidades,36,0.0003697
clara,12,0.0001232
res,15,0.000154
cómo,11,0.000113
menor,26,0.000267
representa,10,0.0001027
otras,48,0.0004929
efectiva,33,0.0003389
diagnóstico,20,0.0002054
lugar,46,0.0004724
sería,10,0.0001027
demanda,17,0.0001746
haber,10,0.0001027
niveles,53,0.0005443
recuperar,10,0.0001027
carga,18,0.0001849
familias,34,0.0003492
invertir,10,0.0001027
gradual,10,0.0001027
modernizar,12,0.0001232
institucionalidad,40,0.0004108
revisar,23,0.0002362
funcionamiento,31,0.0003184
buscaremos,31,0.0003184
similares,11,0.000113
proponemos,44,0.0004519
plan,50,0.0005135
dos,38,0.0003903
competencias,25,0.0002567
necesarias,16,0.0001643
pilar,18,0.0001849
contra,27,0.0002773
capítulo,94,0.0009654
precios,24,0.0002465
ampliar,28,0.0002876
renta,16,0.0001643
político,14,0.0001438
buscará,11,0.000113
potenciar,30,0.0003081
mecanismos,22,0.0002259
técnica,26,0.000267
instancias,12,0.0001232
institución,11,0.000113
necesaria,19,0.0001951
desempeño,22,0.0002259
funciones,22,0.0002259
criterios,14,0.0001438
técnicos,20,0.0002054
independencia,16,0.0001643
distintos,30,0.0003081
mejores,21,0.0002157
adecuado,18,0.0001849
orden,11,0.000113
uno,40,0.0004108
mente,16,0.0001643
fortalecer,70,0.0007189
general,58,0.0005956
intervenciones,14,0.0001438
estar,30,0.0003081
corresponde,10,0.0001027
acción,18,0.0001849
cobertura,37,0.00038
foco,23,0.0002362
construcción,23,0.0002362
nos,54,0.0005546
buscamos,12,0.0001232
pesar,27,0.0002773
grandes,15,0.000154
refiere,14,0.0001438
hasta,32,0.0003286
capital,34,0.0003492
intereses,20,0.0002054
cuanto,34,0.0003492
asistencia,14,0.0001438
datos,25,0.0002567
media,38,0.0003903
américa,13,0.0001335
encuentra,16,0.0001643
mediante,21,0.0002157
asimismo,35,0.0003594
jurídica,10,0.0001027
aplicación,23,0.0002362
debido,11,0.000113
contribuyente,15,0.000154
existencia,14,0.0001438
segundo,17,0.0001746
actuar,11,0.000113
principio,10,0.0001027
fondos,42,0.0004313
nº,69,0.0007086
justo,10,0.0001027
encuentran,20,0.0002054
modificaciones,25,0.0002567
apoyo,41,0.0004211
nuevos,49,0.0005032
pequeñas,10,0.0001027
pymes,21,0.0002157
protección,38,0.0003903
luego,24,0.0002465
superior,14,0.0001438
tributos,10,0.0001027
tributación,10,0.0001027
consideramos,21,0.0002157
hará,11,0.000113
realizar,41,0.0004211
estructura,19,0.0001951
fundamental,48,0.0004929
mínimo,12,0.0001232
modo,21,0.0002157
transformar,18,0.0001849
verdadero,13,0.0001335
debemos,31,0.0003184
bienes,25,0.0002567
básicos,10,0.0001027
espacio,17,0.0001746
fueron,17,0.0001746
creación,83,0.0008524
cuyo,11,0.000113
respuesta,15,0.000154
atender,25,0.0002567
alternativas,11,0.000113
día,25,0.0002567
permitan,20,0.0002054
debe,135,0.0013864
análisis,29,0.0002978
sino,61,0.0006265
tenemos,28,0.0002876
fomentar,39,0.0004005
in,20,0.0002054
problema,21,0.0002157
nuestras,15,0.000154
atractivo,10,0.0001027
serán,22,0.0002259
necesarios,11,0.000113
podemos,12,0.0001232
financiera,28,0.0002876
normativa,29,0.0002978
promoveremos,19,0.0001951
permitirá,23,0.0002362
incorporación,25,0.0002567
momento,21,0.0002157
contribuir,10,0.0001027
puedan,49,0.0005032
mecanismo,16,0.0001643
exportación,18,0.0001849
potencial,17,0.0001746
